numero_lider_excel,subordinados_en_excel
974,1
1000,5
1027,2
1054,12
1069,15
1142,14
1144,2
1214,19
1259,5
1291,4
1385,15
1391,14
1400,1
1429,17
1462,4
1469,16
1533,2
1535,1
1658,1
1661,4
1670,1
1819,9
1848,7
2035,1
2061,6
2096,8
2098,8
2101,11
2116,8
2150,5
2157,11
2195,21
2200,12
2323,7
2331,2
2339,16
2369,6
2445,10
2652,6
2743,5
2776,9
2824,10
2850,10
3090,1
3127,22
3179,9
3200,15
3244,12
3436,10
3479,1
3521,13
3556,19
3640,1
3687,5
3734,8
3879,8
3885,10
3911,6
3935,3
4652,4
4815,9
4993,7
4999,6
